SUBJECT OF PICTURE,Description,Zone - e.g. Watershed,Classification (Healthy / Unhealthy / It Depends),Source link 1 - Image File Name,"Image source (e.g., TERC-owned or source URL)",Anything else/Comments,,Notes:
Deep clear water,"Healthy: Water with minimal algae and sediment is clear and this type of water is considered oligotrophic, meaning it is low in plant nutrients and has lots of oxygen available",Open Water,Healthy,TERC_Blue_water_Lake_Tahoe.jpg,http://upload.wikimedia.org/wikipedia/commons/1/1c/Blue_water%2C_Lake_Tahoe.jpg,,,
Algal bloom in deep water,Unhealthy: Large algal blooms deplete oxygen from the water and block sunlight ,Open Water,Unhealthy,BiofilmAlguesMorgat09.JPG,http://commons.wikimedia.org/wiki/Category:Algal_blooms#mediaviewer/File:BiofilmAlguesMorgat09.JPG,But since some lakes are naturally eutrophic so how / will we address that?,,
Ferries,It Depends: Some ferries are a form of mass transportation which reduces the carbon footprint compared with everyone driving individually Older ferries still discharge coal-ash mixture directly into the water body,Open Water,It Depends,TahoeQueen_twogiraffe.jpg,https://www.flickr.com/photos/twogiraffe/4349912719/in/photolist-7jHTk2-pmiEJY-pjieZU-8xi48p-fKxYzr-6s4AhS-nMCXgk-agniHb-pmiFkh-p4Rd7T-7Corva-6JPYCj-dQfyjU-6aisRo-ai5tb9-28jjiK-dRxwDd-m9QTXN-64aFDA-pjifbq-aN46Hr-eji2L8-p4Rcjk-pm44Ri-66Cxey-p4QafK-p4Rca2-psxpLk-aHNfU2-pb8XXG-pb8kBC-cDD9U-cDD9S-nQ9BkY-noGxY-nTKNjw-pskP16-psC7KB-pb7ZqV-oxCAob-dnzRGj-88dR21-88aDWP-8x3JG-3odGi7-9v4ZG5-5kKvSJ-NMfdR-NMn96-m2Zha,,,
Pollen,Healthy: Bright green pine pollen can be seen floating on the surface of the lake in spring This is often confused with algal blooms or pollution but it is natural and safe for the lake,Open Water,Healthy,pollen on water_NickChill.jpg,https://www.flickr.com/photos/nchill4x4/4910170271/in/photolist-8tTUy8-dapSbp-NmZ6N-4D5v93-61D1xC-due1Nk-nYqb7q-evS2As-5zDZSS-bXiXuE-iomYbq-9C68Wn-7SFhyp-fKhQ9q-9MkZpE-amezQp-eVrjqs-2FtmE-4zTt8-azB9ik-azDNLh-2Eouf-pmPzHv-osMYV7-7hW8vJ-o7BhUB-odk23q-7SnBD6-8C5Bou-6KvkHJ-ctpv11-nMER9Y-cTnoD5-6UFehq-cPC3AA-cSbVQf-dme16S-mmfmEU-iSsaXJ-on3Uxf-op5Uh8-ooSyMQ-9S3Qbv-7xpDsV-9DBti3-9S6HWW-9S3Q1a-9S3R4H-6fypGm-nGkX4X/,,,
Lake mixing,Healthy: Most lakes either partially or completely mix from top to bottom This process brings oxygen from the surface down into the deeper waters of the lake,Open Water,Healthy,,,,,
Lake monsters,"It Depends: Many lakes have a mythological creature, such as Tahoe Tessie, Champ, or Loch Ness Monster, which is thought to live in the deep waters",Open Water,It Depends,LakeMonster_nail.jpg,https://www.flickr.com/photos/stuff-n-things/3737344981/in/photolist-6GfSsr-axLxwH-99F35D-furPCX-furPMT-arwobk-6z2MPi-6FnwVo-6V46JW-ehHx28-996BWt-oA4Wk7-oA5t36-ctmimo-mhqvL-oA4udM-8gFibT-dsE8BB-cwuYNQ-6Z3RzR-jySfkv-fufgU8-dvootk-9gbcVS-nU3RVK-fuuyhA-8fpqqD-8mnHfs-fKZNjr-ciwf2-oA53aS-oShDXB-kFDDpc-5MLayX-6QHjVo-fV1yXr-ccWoBf-i4aQog-8dkaEC-7JKXUR-6QHnTu-dVASas-occyka-8HybBp-99zFnD-dUNuGD-dYsxC9-bmxrKk-fgvUt3-nVp1Ef,,,
Evaporation,"It Depends: Various climate factors such as wind, humidity, and temperature can impact the rate of evaporation (or changing of water to water vapor) from the surface of the lake",Open Water,It Depends,lake-mist.jpg,http://pixabay.com/en/lake-mist-foggy-forest-morning-480472/,,,
Scuba diving,Healthy: Researchers study the underwater ecosystem of Lake Tahoe ,Open Water,Healthy,TERC_CathyPrestonUnderwaterTahoeBlue.JPG,TERC-Owned,,,
Oil slick on water,Unhealthy: Oil from from leaking boats is toxic to plants and animals in the water,Open Water,Unhealthy,OilInTheWater.jpg,https://www.flickr.com/photos/e_cathedra/540727956/in/set-72157594439584863,,,
Snow falling on water,"It Depends: Precipitation is a natural part of the hydrologic cycle and replenishes the water supply However, snow is usually never pure water and any particulate matter/pollution in the airshed will be carried by the snow into the water",Open Water,It Depends,Snow Falling_jan.jpg,https://www.flickr.com/photos/49774508@N06/6391162297/in/photolist-e6oreh-nGydoh-8ZqUin-pp6EbR-nmzLQ9-oZWFvL-biENhT-aJLnTp-eetSKU-foTbhW-iL8RQG-kFKLb8-n843AE-i4RM1J-kDmLcr-gstifX-aUnW4v-78FU5D-bhE7fg-pp16X7-nLHk4j-juktux-o7f8Aq-6WCbKJ-mwgJW4-iZkpyG-5rTziC-fe2riH-pfWWXt-8WUK6J-q5U59U-a2ekEg-nbJDVT-o6tam5-9TwMhk-o4jcKu-aV9oUp-hfnYGD-8ZJoLi-iuwg46-bum6JC-hDZGbR-6miTHx-eY5erW-nFfb2q-kAjCh1-ahPzoo-98Wbdj-ohDLbv-cEvf5J,,,
Research vessel with secchi disk measurement underway,Healthy: What gets measured gets done right Scientific research allows for wise public policy decisions,Open Water,Healthy,TERC_SecchiDisk_HeatherSegale.JPG,TERC-Owned,,,
Off-road vehicles,"Unhealthy: Off-highway vehicles (OHV) can cause soil compaction and erosion, harm vegetation and water quality, and threaten both plant and animal habitat",Watershed,Unhealthy,4wd_01+2009_jeepers_jamboree+rubicon_trail.jpg,requesting permission http://www.fourwheeler.com/4-wheel-drive-sport-utility-magazine/page-4/,,,
Fertilizer,It Depends: Too much fertilizer can run off into streams and lakes and cause algae to bloom,Watershed,It Depends,Fertilizer.jpg,https://www.flickr.com/photos/davidreber/4502902732/,,,
Wildfires,"Unhealthy: Runaway wildfires tend to burn hot, resulting in a lot of smoke and ash, and when large areas are burned can result in erosion when rainstorms wash the unprotected soil into streams or lakes",Watershed,Unhealthy,WildFire.png,http://en.wikipedia.org/wiki/Controlled_burn#mediaviewer/File:Northwest_Crown_Fire_Experiment.png,,,
Prescribed burns,It Depends: Prescribed or controlled burns reduce the risk of wildfires and if properly managed can reduce impact of fires,Watershed,It Depends,"requested images from ""Living with Fire"" Cooperative Extension",http://upload.wikimedia.org/wikipedia/commons/0/03/Prescribed_burn_in_a_Pinus_nigra_stand_in_Portugal.JPG,,,
Invasive weeds,Unhealthy: Never plant non-native invasive ornamental weeds on your property,Watershed,Unhealthy,TERC_Pondwed in Tahoe_1-BrantAllen.JPG,TERC-owned,,,
Geese,Unhealthy: Geese eat grass and poop nutrients that can wash into the lake and cause algal blooms,Watershed,Unhealthy,TERC_GeeseZephyrCove_AlisonToy.jpg,TERC-owned,,,
Dog pooping,"Unhealthy: Pet waste contains harmful bacteria and nutrients that can cause algal blooms if washed into the water However, if you pick up pet waste you can keep it out of our drinking water supply and prevent it from affecting lake health",Watershed,Unhealthy,DogPoopingOnBeach.jpg,https://www.flickr.com/photos/15376240@N00/3417156790,,,
Eurasian watermilfoil on pulled out of the water,"Unhealthy: This invasive plant can get caught on boat propellers and be transported into other waterbodies, where it can negatively affect the aquatic ecosystem",Watershed,Unhealthy,RakeAIS_Emily.JPG,The League to Save Lake Tahoe,,,
Mountain biking,"It Depends: Human-powered sports generally have less impact to the land, however, mountain bikers should stay on trail and stay out of sensitive lands",Watershed,It Depends,Biking-Flume-Trail.jpg,http://wildnatureimages.photoshelter.com/image/I0000KkGniftQZxY,,,
Golf course,"It Depends: Golf courses require a large amount of fertilizer to maintain the expansive green grass areas, however, if managed properly, the impacts to water quality from the nutrient-rich fertilizer can be kept to a minimum",Watershed,It Depends,Golfcourse.jpg,http://www.golfdigest.com/golf-courses/golf-travel/buddies/2011-06/away-game-lake-tahoe,,,
Hiking on a trail,"Healthy: Human-powered sports generally have less impact to the land, however, hikers should stay on trail and stay out of sensitive lands",Watershed,Healthy,hikingTahoeRimTrail.jpg,"Shutter Stock - Galyna Andrushko
                ",,,
Jeep tears rutts in a meadow,Unhealthy: Vehicles driving through sensitive lands such as meadows can severely impact the land for years to come,Watershed,Unhealthy,jeep_stuck-in-meadow-TahoeNationalForest-laura-clarke-usfs_0.jpg,"Credit: Laura Clarke, U.S. Forest Service, Tahoe National Forest",Is this represented by 'Off-road vehicles'? Necessary to have as a separate entry?,,
Oil slick on road,Unhealthy: Oil from the land can end up in the lake and be toxic to plants and animals in the water,Watershed,Unhealthy,Oil Slick_1794.jpg,TERC-Owned,,,
Trash on the beach,"Unhealthy: Plastic can be harmful to fish, birds and other animals and should be removed",Watershed,Unhealthy,Water_Pollution_with_Trash_Disposal_of_Waste_at_the_Garbage_Beach,http://upload.wikimedia.org/wikipedia/commons/9/9f/Water_Pollution_with_Trash_Disposal_of_Waste_at_the_Garbage_Beach.jpg,,,
Agriculture,"It Depends: Farm lands can require a large amount of fertilizer, however, if managed properly, the impacts to water quality from the nutrient-rich fertilizer can be kept to a minimum",Watershed,It Depends,Greenfield_California.JPG,http://upload.wikimedia.org/wikipedia/commons/6/6c/Greenfield_California.JPG,,,
Cows drinking out of stream,Unhealthy: Cows grazing can cause erosion and cow poop can pollute the lake,Watershed,Unhealthy,6201462885_09590e487f_o.jpg,http://farm7.staticflickr.com/6135/6201462885_09590e487f_o.jpg,,,
Quagga mussels on boat propeller,Unhealthy: Quagga mussels are aquatic invasive species that would have devastating long-term effects on Lake Tahoe and its streams and must be kept out of Lake Tahoe,Watershed,Unhealthy,QuaggaOnBoat.jpg,www.nps.gov,,,
Erosion,Unhealthy: Erosion brings sediment (fine particles) which can cloud the waters and reduce lake clarity,Watershed,Unhealthy,erosion.jpg,http://commons.wikimedia.org/wiki/File:A_gully_formed_by_water_erosion.jpg,,,
Paving the road,It Depends: Paving roads reduces available land for water to soak in but is better than dirt roads,Watershed,It Depends,RoadConstructionPaving.jpg,,,,
Construction near water's edge,"It Depends: Construction activities can harm the lake, but properly installed and maintained BMPs can reduce the impact",Watershed,It Depends,Construction near water.jpg,http://upload.wikimedia.org/wikipedia/commons/e/ec/Ma_Wat_River_near_Tong_Hang_under_construction_2005.jpg,"Couldn't construction anywhere in the watershed affect the lake, e.g., through erosion, waste runoff, etc. I guess I wasn't sure what the 'water's edge' focus is meant to convey.",,
Defensible Space,Healthy: Tahoe basin property owners must ensure there is defensible space at their home to help minimize the risk of fire hazards that can affect lake health.,Watershed,Healthy,LadderfuelsUNCE.jpg,University of Nevada Cooperative Extention,,,
Dirt road,"Unhealthy: Driving on dirt compacts the soil, prevents plants from growing, and contributes to erosion and polluted run-off",Watershed,Unhealthy,DirtRoadDust.jpg,http://upload.wikimedia.org/wikipedia/commons/a/a7/2012_Lexus_RX270_dirt_road_%287648343286%29.jpg,,,
Bike trail with bikers,"Healthy: Ride a bike, take public transportation, walk or carpool to reduce the number of vehicles on local roads",Watershed,Healthy,BikePath.jpg,https://www.flickr.com/photos/pebarreto/7954544018/in/photolist-bsLzBz-qmD5v-p27P3F-pDdvD1-pLR1fA-ng7Gay-pnX6bG-dxhH4v-79cyTm-oZGmdH-gnnhGz-gnnnum-65Qarm-nLoZYg-8oAq3j-3c8DdM-a7PuWe-pRqoEE-azkjeA-72suP5-gnnmJ3-drYAdL-fuRZ9v-aCyuyG-6mUCJu-7sNNfX-3PrgYV-aD4M7v-8d7br8-8dW5Kq-d7V7NE-5qtKU6-gnnhtt-qmD5J-o41YR2-ojzzBX-ahyGdU-ahvTS4-ahyEsf-ahvTvp-aD4Up8-aD4F8X-drYAyq-4oV71d-aAhzZe-6KLf8M-t3Lrg-aa4nSi-aa4s3V-aa7qVC,"Is it possible to highlight climate change in some of these entries (e.g., the ones related to driving too)? Seems like a key topic to address.",,
Car traffic,"Unhealthy: Excessive automobile use degrades air quality and contributes to the decline in Tahoe's clarity; In addition, excessive automobile use contributes to climate change which threatens the health of the entire lake ecosystem",Watershed,Unhealthy,TahoeTraffic.jpg,http://upload.wikimedia.org/wikipedia/commons/6/6c/Nevada_State_Line_in_Lake_Tahoe.jpg,,,
Clean burning wood stove,"Healthy: Open fireplaces and inefficient wood stoves contribute to poor air quality… replace with a clean-burning, high-efficient wood stove options",Watershed,Healthy,PelletStove.jpg,http://upload.wikimedia.org/wikipedia/commons/c/ca/Pellet_stove.jpg,,,
Smoking wood stove,"Unhealthy: Open fireplaces and inefficient wood stoves contribute to poor air quality… replace with a clean-burning, high-efficient wood stove options",Watershed,Unhealthy,SmokeyStove.jpeg,http://en.wikipedia.org/wiki/Air_pollution_in_India,,,
Sweeping driveway,"Healthy: Sweep instead of using leaf blowers Leaf blowers move the fine particles into the air, reducing air quality and visibility, and sending the fine particles into the lake, causing reduced water clarity",Watershed,Healthy,,,,,
Leaf blower with dust cloud,"Unhealthy: Sweep instead of using leaf blowers Leaf blowers move the fine particles into the air, reducing air quality and visibility, and sending the fine particles into the lake, causing reduced water clarity",Watershed,Unhealthy,LeafBlower.jpg,"http://commons.wikimedia.org/wiki/File:Workers_with_leaf_blowers,_Georgia_Tech_Facilities_i.jpg",,,
"Fishing gear, bait buckets","Unhealthy: Invasive species can also be transported by fishing gear, bait buckets, live bait wells",Watershed,Unhealthy,BaitBucket_JohnMcCullough.jpg,https://www.flickr.com/photos/cup_prof/5667395671/in/photolist-esNmn-3tjdYN-8ajmei-8dAZM1-7Ro9mN-nLEQa8-ayzGoF-5pEZLT-pFTqPB-4RoZGY-6fi93J-564Haw-8HuaiX-aTUytk-6T12Mc-cpN6M5-4MecKQ-6aRDR1-6DWJ2h-7Ruwif-c7LKk7-c7LK1w-nMYV75-ytyzH-9KD6QK-9A1FQV-51FtvZ-3arRom-c8oC9m-7ugWz4-4up9mm-5b7fF6-7ERJSG-JVkNR-kKSkk-4XUS7F-6TJvNw-3VNrTM-6FCa48-8XLEwG-9kdsSZ-6pWgGD-5U9sqx-jKu2cf-26KUv-EVrFX-7f5fZz-id2xa-9CNTht-aNaeMe,,,
Developed campground with fire pit,"Healthy: Buy a fire permit, use established fire pits, know fire restrictions, have fire pan/shovel/hose nearby",Watershed,Healthy,Campfire.JPG,http://upload.wikimedia.org/wikipedia/commons/8/89/Campfire_scar_08319.JPG,,,
Angora fire,"It Depends: Boat wrecks can provide habitat for fish and other species However, pollutants such as gasoline, can leach into the water as materials on the boat begin to break down",Watershed,Unhealthy,TERC_AngoraFire.jpg,Cannot Find Photographer name _ check SOTL ,,, 
House with defensible space,"Healthy: Tahoe homeowners have to ""get defensive"" with defensible space to help increase the chance the home can be saved if there is a wildfire",Watershed,Healthy,"requested from ""Living With Fire"" team",,,,
Forest fire destroying home without defensible space,Unhealthy: Homes without defensible space cannot be safely protected by fire crews during a wildfire,Watershed,Unhealthy,HouseBurn.jpg,The League to Save Lake Tahoe, ,,
Healthy trees spaced widely in forest,"Healthy: In 'natural' forests, trees tend to be spaced out due to resource competition; Wider spacing spreads out the fuel load and slows down the spread of fires",Watershed,Healthy,TERC_HealthyTrees_AlisonToy.jpg,TERC-Owned,,,
Overcrowded forest with crown fires,Unhealthy: Overcrowded forests increase fuel loads and enhance the speed at which fire spreads,Watershed,Unhealthy,WildFire.png,http://upload.wikimedia.org/wikipedia/commons/9/99/Northwest_Crown_Fire_Experiment.png,,,
Tahoe license plate,Healthy: Show off your love and support of protecting Lake Tahoe by ordering or renewing your California or Nevada Lake Tahoe License Plate Nevada and California Lake Tahoe license plate funds benefit conservation and recreation projects in the basin,Watershed,Healthy,Request sent to the Tahoe Fund,,,,
